Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2017,Armstrong Bay,Fished,Geordie Bay,4,2,Inner Western Point,1,12:00:00,3,0,1417,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,3,Inner Western Point,1,12:00:00,3,1,1418,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,4,Inner Western Point,1,12:00:00,2,1,1419,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,5,Inner Western Point,1,12:00:00,1,0,1420,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,6,Inner Western Point,1,12:00:00,3,1,1421,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,7,Inner Western Point,1,12:00:00,3,1,1422,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,8,Inner Western Point,1,12:00:00,2,0,1423,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,9,Inner Western Point,1,12:00:00,2,1,1424,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Geordie Bay,4,10,Inner Western Point,1,12:00:00,3,2,1425,-31.988813,115.522852,Yes,Yes,20170121,
2017,Armstrong Bay,Fished,Parakeet Bay,1,1,East out,1,12:00:00,0,3,1426,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,2,East out,1,12:00:00,2,3,1427,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,3,East out,1,12:00:00,2,3,1428,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,4,East out,1,12:00:00,2,3,1429,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,5,East out,1,12:00:00,1,3,1430,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,6,East out,1,12:00:00,2,3,1431,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,7,East out,1,12:00:00,1,3,1432,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,8,East out,1,12:00:00,0,3,1433,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,9,East out,1,12:00:00,2,3,1434,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,1,10,East out,1,12:00:00,3,3,1435,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,1,Inner west,1,12:00:00,2,1,1436,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,2,Inner west,1,12:00:00,2,1,1437,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,3,Inner west,1,12:00:00,3,1,1438,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,4,Inner west,1,12:00:00,3,1,1439,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,5,Inner west,1,12:00:00,2,1,1440,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,6,Inner west,1,12:00:00,2,1,1441,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,7,Inner west,1,12:00:00,3,1,1442,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,8,Inner west,1,12:00:00,3,3,1443,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,9,Inner west,1,12:00:00,4,3,1444,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,2,10,Inner west,1,12:00:00,3,3,1445,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,3,1,East inner reef,1,12:00:00,3,3,1446,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,3,2,East inner reef,1,12:00:00,3,3,1447,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,3,3,East inner reef,1,12:00:00,4,3,1448,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,3,4,East inner reef,1,12:00:00,1,3,1449,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,3,5,East inner reef,1,12:00:00,4,3,1450,-31.988916,115.5158,Yes,Yes,20170127,
2017,Armstrong Bay,Fished,Parakeet Bay,3,6,East inner reef,1,12:00:00,3,3,1451,-31.988916,115.5158,Yes,Yes,20170127,
